"septiembre 21º 2017, 9:39:04 am",LucasF_12,Hoy no fui a trabajar y tampoco avisé que faltaba. Seguro que mañana encuentro mis cosas tiradas en la calle 🙂
"septiembre 21º 2017, 9:39:13 am",DamarisTapia8,"En gobmx también puedes localizar a las personas que se encuentran en hospitales de Tu_IMSS. 
#FuerzaMéxico 🇲🇽 https://t.co/C17LXeOLeS"
"septiembre 21º 2017, 9:39:19 am",J1184Janeth,TIENES MI VOTO https://t.co/AuRI0UkyhQ
"septiembre 21º 2017, 9:39:29 am",Mr_VivaYolo,"RT gobmx: En gobmx también puedes localizar a las personas que se encuentran en hospitales de Tu_IMSS. 
#FuerzaMéx… https://t.co/9uo6atmjQP"
"septiembre 21º 2017, 9:40:14 am",FlippyMadness,Hace mucho que no encuentro a un macho que me tome :3 https://t.co/6nfSCtt06v
"septiembre 21º 2017, 9:40:15 am",Leannddrro,"Pongo mi libido en la facultad, pero me encuentro con que historia es una mierda y la retracción libidinal no es al yo, sino a Netflix."
"septiembre 21º 2017, 9:40:17 am",bekkalapiz,"#ayuda para localizar:
Hsien Yu Huang (Amy)
Pei Ju Chin 
Ying Xia Lai (Gina)
Jia Yu Wang 
fábrica textil #bolivar… https://t.co/x3268hFk1h"
"septiembre 21º 2017, 9:40:30 am",DamarisTapia8,"En gobmx también puedes localizar a las personas que se encuentran en hospitales de Tu_IMSS. 
#FuerzaMéxico 🇲🇽 https://t.co/C17LXeOLeS"
"septiembre 21º 2017, 9:40:36 am",Viry_Flores,🚨🚨 IMPORTANTE 🚨🚨En @gobmx también puedes localizar a las personas que se encuentran en hospitales de @Tu_IMSS.… https://t.co/b9c0W0ez1p
"septiembre 21º 2017, 9:40:56 am",antenanoticias,Recuperan cadáver en colegio #Rebsamen ; piden localizar a padres de niños atrapados. https://t.co/zQzAqL8kje https://t.co/KY0rXZ52bZ
"septiembre 21º 2017, 9:41:03 am",MathieuYacel,#SomosMexico #FuerzaMexico ya sacarían a #FridaSofia de los escombros?!?  No encuentro nada en las noticias!!!!! 😲😲😲😲
"septiembre 21º 2017, 9:41:05 am",dannbravo,"Jueves 21 9 am. Ayuda para localizar a Saúl Sánchez Anaya de 33 años, la última vez vistolo en calle San Luis Potosí. #sebusca @lopezdoriga"
"septiembre 21º 2017, 9:41:08 am",nicevejn,Qué horror que se atrevan a jugar con cosas así! Pero esperemos más sobrevivientes. https://t.co/X0nvMO8KjD
"septiembre 21º 2017, 9:41:19 am",DiarioMx360,Este es el escáner que se utilizó para localizar a víctimas del colegio Rébsamen https://t.co/D8JY7SUu4f #FridaSofía https://t.co/uSxZhWGaH1
